date,duration
2020-01-01,452
2020-01-02,520
2020-01-03,409
2020-01-04,477
2020-01-05,408
2020-01-06,339
2020-01-07,418
2020-01-08,143
2020-01-09,464
2020-01-10,403
2020-01-11,388
2020-01-12,492
2020-01-13,454
2020-01-14,306
2020-01-15,219
2020-01-16,250
2020-01-17,352
2020-01-18,619
2020-01-19,550
2020-01-20,327
2020-01-21,473
2020-01-22,243
2020-01-23,467
2020-01-24,518
2020-01-25,592
2020-01-26,845
2020-01-27,583
2020-01-28,516
2020-01-29,561
2020-01-30,640
2020-01-31,562
2020-02-01,604
2020-02-02,417
2020-02-03,498
2020-02-04,497
2020-02-05,553
2020-02-06,123
2020-02-07,583
2020-02-08,412
2020-02-09,684
2020-02-10,555
2020-02-11,669
2020-02-12,222
2020-02-13,583
2020-02-14,386
2020-02-15,592
2020-02-16,740
2020-02-17,683
2020-02-18,569
2020-02-19,718
2020-02-20,568
2020-02-21,254
2020-02-22,418
2020-02-23,624
2020-02-24,500
2020-02-25,232
2020-02-26,419
2020-02-27,542
2020-02-28,128
2020-02-29,407
2020-03-01,243
2020-03-02,440
2020-03-03,627
2020-03-04,389
2020-03-05,426
2020-03-06,400
2020-03-07,92
2020-03-08,603
2020-03-09,578
2020-03-10,667
2020-03-11,640
2020-03-12,456
2020-03-13,428
2020-03-14,556
2020-03-15,379
2020-03-16,537
2020-03-17,567
2020-03-18,636
2020-03-19,639
2020-03-20,572
2020-03-21,755
2020-03-22,1000
2020-03-23,821
2020-03-24,896
2020-03-25,906
2020-03-26,898
2020-03-27,615
2020-03-28,873
2020-03-29,967
2020-03-30,967
2020-03-31,901
2020-04-01,758
2020-04-02,997
